"district","timePeriod","stabilityProduction","asynchronyBetween","asynchronyWithin","areaHarvested","diversity"
3,1998,14.7688337747897,0.476090255302696,0.788884075084594,153099.43,5.24563104666327
3,2008,18.4093341595382,0.681404943715907,0.804192810501318,202991.9,5.63654978679792
53,1998,16.6338434443512,0.519860942936208,0.689603736141896,12929.29,2.9026098279222
53,2008,13.8222763915499,0.536242509792527,0.676530997292323,26823.61,3.03881863496691
81,1998,12.9413622253589,0.386262895892517,0.81194454021543,37405.2176,4.68585002812866
81,2008,14.6586398757081,0.662601814404366,0.780876721197336,68525.1891,4.71831004687913
51,1998,16.5878272931753,0.448044110168673,0.813472805706481,9522.91,4.02612904306541
51,2008,15.3585177684322,0.642494996310969,0.823397420918333,15845.93,4.13226241097235
146,1998,6.96110029286165,0.304975379509807,0.53617623501511,86663.4727,5.2994375901964
146,2008,11.056702872101,0.589300261681344,0.609482966268945,86348.5576,4.51325457179296
57,1998,22.6004413348795,0.525568880460967,0.883825553700024,45572.82,4.07250556210051
57,2008,11.9147773499695,0.478701296490891,0.769172490547521,56310.2743,4.29450916169713
66,1998,17.8699576615387,0.504500017122908,0.868214183196326,38947.6,3.66195706911279
66,2008,10.7786421628919,0.382011858849938,0.662217512504715,18506.32,3.15394930325336
59,1998,28.5824389503664,0.768090106674899,0.8346371968961,6717.47,3.80050800436635
59,2008,17.2226971723764,0.596853525272305,0.808106324290892,16542.13,4.15268627379435
65,1998,14.9913325419315,0.464647573319115,0.814265100820022,20029.1,4.06017637145229
65,2008,5.9166230670666,0.608277435384584,0.212315313856422,3650.83,3.400744507852
95,1998,8.83532993625548,0.214916100733912,0.722395296624403,27269.9432,3.48593893805352
95,2008,12.6937564972268,0.520156398842915,0.793200691596884,34726.29,3.94273405499634
84,1998,25.034747408008,0.533104081420571,0.925518506451335,8828.5319,3.71204508855473
84,2008,23.6630117131679,0.41417116182236,0.916278290644869,20910.4026,3.66597114624753
1,1998,20.3823934713977,0.688260800807847,0.830139058134306,78123.51,3.24786280040101
1,2008,8.55085304160721,0.358538145919759,0.693148174192865,74821.79,3.21635238828181
92,1998,17.3679940805439,0.480909828894975,0.832346179753246,26113.44,4.33871941360296
92,2008,22.7980479810135,0.62304509503873,0.892481880982945,35862.84,4.34976250262462
15,1998,10.0082046912381,0.320038482803142,0.635352957240468,314318.03,4.78050131854588
15,2008,9.03834182965858,0.334162537476991,0.643399850001788,495425.4332,4.38368566372014
64,1998,16.5615508310586,0.446696350312006,0.823999117716217,27186.13,5.02105682418053
64,2008,16.6453792570707,0.598534189928923,0.684289022839106,8810.42,3.08348665070389
13,1998,17.0823140175244,0.487183222592547,0.79841762415422,170407.2687,3.69202455582419
13,2008,7.70973647970489,0.213009270168452,0.613577595846646,300168.2677,3.5144753437668
55,1998,21.9677222480353,0.509921182990341,0.919366383295658,26275.99,3.63329719130029
55,2008,15.2410483325326,0.471739922196703,0.855485884231886,44464.6,3.85203215159244
147,1998,6.98591446645811,0.306042067315632,0.59798202259213,40458.5517,3.95890746033752
147,2008,10.5097080602138,0.462783048836002,0.595546493903402,71820.9963,4.1810089721284
7,1998,16.2032179509103,0.54888287299281,0.846511398723313,55316.03,5.1942733655175
7,2008,14.7047443205206,0.672787527376031,0.786084051555083,121611.56,4.98549013341723
96,1998,9.68814532710732,0.330526574802461,0.728167843726309,27275.01,4.89112748555013
96,2008,10.6393222732064,0.602326205751276,0.645029178674852,40074,4.10651505368079
16,1998,9.66308090118427,0.474508266005404,0.623012334746326,163331.4545,4.20265062254298
16,2008,11.4937550393013,0.310075501145082,0.701108520783639,237878.5355,3.72927714424414
93,1998,16.9700095245564,0.688401353347351,0.75322990038089,13390.6044,5.79430936982481
93,2008,22.9525977909202,0.730714660817722,0.855901808942609,35060.24,5.36417091247203
94,1998,12.1201959136403,0.497015421099843,0.822737109013541,21969.2,4.19291205125361
94,2008,16.7706784245548,0.506975405928063,0.871618873770662,30107.54,4.19649208933265
12,1998,5.33637379758385,0.307320906759303,0.556819927583001,173383.24,4.74216071895632
12,2008,7.26555154227086,0.542639095581131,0.571790520165847,250588.4871,4.82205729807506
145,1998,11.2945030834944,0.383202033743907,0.784197126164659,35728.6465,4.57417192694694
145,2008,14.5242201863113,0.707493195593826,0.710577543268347,47008.511,4.31569863936517
97,1998,11.0799446288955,0.274351230390393,0.762381245307959,18174.8366,3.74052993124977
97,2008,16.3953805452595,0.652784709011859,0.713658411408709,9358.49,3.26311275070567
82,1998,12.7103952669486,0.471293793849258,0.754713577107392,21472.3108,5.38191993730018
82,2008,14.8159030431606,0.63463659925564,0.781722513669271,23096.0505,5.14374114896448
91,1998,13.7167326037064,0.517006375046876,0.735752327812603,25122.04,5.14906241389552
91,2008,16.3317162648333,0.536625677953614,0.819741243726719,38110.5066,4.70638919756837
10,1998,8.95637523242449,0.345025003336917,0.757229906817159,18818.0654,4.21788168967627
10,2008,15.5843195663831,0.468571463847722,0.880180526938533,25991.9834,3.53176377487492
83,1998,12.8449205360024,0.713300923234514,0.63622072437708,3930.6817,5.36874340051464
83,2008,8.09483008473942,0.560539593406394,0.415440501124523,6166.8,3.0656141142582
