"Country","timePeriod","stabilityProduction","asynchronyBetween","asynchronyWithin","areaHarvested","diversity"
"AUT",1978,10.9501163870983,0.579755649649383,0.11991611482202,4387500,2.05299934629767
"AUT",1988,24.5999020603571,0.858648810110259,0.281707066086161,4049900,2.67481094007538
"AUT",1998,12.9201863345879,0.47818232716113,0.256346856014825,6275700,4.1584196893546
"AUT",2008,10.8771190065134,0.420627864248426,0.241533203056253,6168220,4.44939495969344
"BEL",1978,17.003946000492,0.645656102991003,0.163788486324599,3918300,3.67180795152829
"BEL",1988,14.8454384835947,0.42565699891089,0.238287018396857,1880400,3.16368224749688
"BEL",1998,21.3102572902695,0.710363274747879,0.196203210188894,3730200,3.6233532732503
"BEL",2008,8.29965832011,0.248846861109334,0.421744184406409,1774400,3.40490907127189
"CZE",1998,8.66094639455543,0.408724120080347,0.122929343238408,17213770,3.1391427796473
"CZE",2008,12.1020171658329,0.529887990412751,0.0528632110343993,17819790,3.97115360245527
"DEU",1978,20.0401703072746,0.666986125095078,0.325035260802046,28454600,2.53939817339578
"DEU",1988,19.1110869446098,0.633416290725239,0.239155677013442,26734700,3.00996798120883
"DEU",1998,14.4457986595399,0.341820092203859,0.331266221751919,64856400,3.86740894472142
"DEU",2008,15.5453994694633,0.519679290730632,0.271675579133395,63899270,3.70564643195081
"GRC",1988,9.34987636583181,0.272239470031089,0.183491890905537,372700,1.92727795263723
"GRC",1998,4.8369309752727,0.438185879600685,0.312137574807939,313630,2.85217554479438
"GRC",2008,16.1534845189153,0.745854165513598,0.537271818633306,9728860,4.87261012046423
"ESP",1978,5.7473382411655,0.307400767465601,0.260624306999383,44537400,1.70045698019286
"ESP",1988,5.80132047521322,0.235752199889071,0.437148777215101,44350400,1.62365307032481
"FRA",1978,13.974852833841,0.635864285955831,0.416014857395058,35673300,2.69700458802055
"FRA",1988,15.2140501633514,0.523228083921076,0.367535071962519,45993800,4.05539881905916
"FRA",1998,18.7119620792205,0.493374520619297,0.370293858504775,100827100,4.6799457069984
"HUN",1998,6.03914828208531,0.422279571318386,0.224522760650605,5990400,3.56453726074615
"HUN",2008,7.62563679899197,0.214131404696266,0.164140428778008,16467040,2.89067606378514
"ITA",1978,11.1917040276924,0.570134093279553,0.509476226381211,7596800,3.6739879937897
"ITA",1988,25.4154837355239,0,0.267006590834358,2101400,1
"ITA",1998,12.1099829564921,0.413801111404786,0.556073888841193,20388600,3.68111053776889
"NLD",1978,28.7551237385772,0.888913300310631,0.282433400691927,2899700,2.87850816824933
"NLD",1988,18.5803809782639,0.439182803140575,0.447450242591815,3398800,2.70617275637239
"NLD",1998,14.2684195087014,0.569836099706145,0.365239399627772,4518000,3.69377286009281
"NLD",2008,19.0661283572872,0.616496351761957,0.294402025203466,4070410,3.53530444677871
"POL",1998,12.7478116695746,0.463856159212428,0.317517917217112,52469800,3.96099340092744
"POL",2008,14.8655707941327,0.635376949923563,0.412243444826048,30045980,3.18577151341287
"PRT",1988,6.36585280549632,0.108023336394173,0.0692067924210768,503200,1.36694827509031
"PRT",1998,12.3690659549168,0.524536347775828,0.235192345543837,344950,2.4302417390587
"PRT",2008,10.7344796206892,0.641639382273719,0.243021856468506,2491580,5.22174115357075
"ROU",1998,3.752763572231,0.361534448428219,0.243599727693285,30768820,2.98403616582266
"ROU",2008,6.29416501914747,0.248200363646863,0.199126825984932,55564190,3.40979490425636
"SWE",2008,14.9076600567174,0.722248728383072,0.303255067146963,9111710,3.29235754110301
"SVK",1998,7.18769596006726,0.479279663155973,0.0933877449896744,7998700,4.10541889738028
"SVK",2008,5.77347399638909,0.347106515730575,0.0594842106352248,5814930,3.9863139042885
"GBR",1978,18.9684673666136,0.0414866322794807,0.349964459226276,14572200,1.16875384069932
"GBR",1988,10.0027952859367,0.123758667199096,0.120566282903051,10160100,1.43740338274441
"GBR",1998,25.5445781451048,1.11022302462516e-16,0.557599552580139,9909200,1
